           YEAR,           JDAY,           FSIN,          FSOUT,           ALBT,           FLIN,          FLOUT,            GTE,          QSENS,           QEVP,          GZERO,             TA,           TCAN,           CMAS,           TSNO,           TPND,          TSOL1,          TSOL2,          TSOL3,             QA,             UV,           PRES,
           1980,            336,   38.21780    ,   20.45086    ,  0.4456752    ,   203.8523    ,   220.7223    ,  -23.46800    ,   7.895935    ,   2.690773    ,  -5.737879    ,  -21.51637    ,  -22.29912    ,   8.307646    ,  -8.584503    ,   0.000000    ,  -6.484375    ,  -5.040649    ,  0.2453003    ,  0.6877105E-03,  0.9917580    ,   76449.73    ,
           1980,            337,   44.34406    ,   23.64941    ,  0.4464370    ,   215.6697    ,   230.7682    ,  -20.68973    ,   8.099309    ,   3.432467    ,  -6.120920    ,  -18.31514    ,  -19.90077    ,   8.220969    ,  -8.799744    ,   0.000000    ,  -6.593933    ,  -5.050812    ,  0.2364502    ,  0.9806532E-03,   1.184032    ,   75541.93    ,
           1980,            338,   30.37988    ,   16.07264    ,  0.4539560    ,   225.2593    ,   236.1361    ,  -19.33861    ,   3.967441    ,   4.649365    ,  -5.813056    ,  -18.03462    ,  -18.77016    ,   8.186906    ,  -8.656311    ,   0.000000    ,  -6.561890    ,  -5.078491    ,  0.2279053    ,  0.1039713E-02,   1.164433    ,   75208.95    ,
           1980,            339,   34.37789    ,   17.54971    ,  0.4740154    ,   222.8952    ,   223.6550    ,  -22.69246    ,   15.92779    ,   8.181376    ,  -6.451997    ,  -22.54579    ,  -22.15681    ,   8.219306    ,  -8.994995    ,   0.000000    ,  -6.699646    ,  -5.078369    ,  0.2192993    ,  0.6046986E-03,  0.9029081    ,   75201.99    ,
           1980,            340,   36.81810    ,   18.93488    ,  0.4691940    ,   191.0754    ,   206.4291    ,  -27.74698    ,   5.775877    ,   1.798153    ,  -6.154114    ,  -22.04507    ,  -25.94547    ,   8.243880    ,  -8.870209    ,   0.000000    ,  -6.717560    ,  -5.157867    ,  0.2109985    ,  0.6633835E-03,   1.585610    ,   75876.66    ,
           1980,            341,   43.85225    ,   23.26282    ,  0.4493876    ,   170.2336    ,   196.9935    ,  -30.72084    ,   3.612017    ,  0.7316659    ,  -6.652165    ,  -21.44908    ,  -28.13651    ,   8.264861    ,  -9.081299    ,   0.000000    ,  -6.801208    ,  -5.190430    ,  0.2028198    ,  0.7154932E-03,   1.385286    ,   76382.94    ,
           1980,            342,   47.33235    ,   25.14042    ,  0.4540623    ,   169.3459    ,   195.6888    ,  -31.00591    ,   5.984025    ,   1.153929    ,  -7.357111    ,  -21.39268    ,  -28.72281    ,   8.297734    ,  -9.471588    ,   0.000000    ,  -7.027710    ,  -5.305908    ,  0.1948242    ,  0.6827626E-03,  0.6734208    ,   76997.76    ,
           1980,            343,   48.16706    ,   25.43732    ,  0.4554418    ,   180.5940    ,   206.9420    ,  -27.49968    ,   4.054493    ,   1.514428    ,  -7.306381    ,  -19.33817    ,  -24.79892    ,   8.275454    ,  -9.573364    ,   0.000000    ,  -7.188354    ,  -5.478333    ,  0.1867981    ,  0.9016788E-03,   1.493119    ,   77124.51    ,
           1980,            344,   40.31775    ,   21.28993    ,  0.4586788    ,   196.6861    ,   216.9932    ,  -24.61171    ,   3.375364    ,   1.579525    ,  -7.135353    ,  -17.55342    ,  -22.95158    ,   8.244447    ,  -9.640747    ,   0.000000    ,  -7.320862    ,  -5.622955    ,  0.1787720    ,  0.1061528E-02,   1.854746    ,   77064.27    ,
           1980,            345,   38.94149    ,   20.14429    ,  0.4668945    ,   233.1198    ,   248.2526    ,  -16.13156    ,  -1.080644    ,   3.948279    ,  -5.706600    ,  -12.41589    ,  -14.93329    ,   8.148985    ,  -9.037842    ,   0.000000    ,  -7.171143    ,  -5.701874    ,  0.1709595    ,  0.1732718E-02,   2.700047    ,   76614.02    ,
           1980,            346,   31.17982    ,   15.80190    ,  0.4664352    ,   264.2994    ,   283.4932    ,  -7.243958    ,  -32.19124    ,   29.26851    ,  -3.269838    ,  -5.532837    ,  -5.771301    ,   8.060252    ,  -7.632599    ,   0.000000    ,  -6.556335    ,  -5.567627    ,  0.1631470    ,  0.2784637E-02,   8.081856    ,   76553.82    ,
           1980,            347,   47.50710    ,   24.79018    ,  0.4639589    ,   212.6515    ,   246.8083    ,  -16.66241    ,  -16.61500    ,   16.74362    ,  -3.133999    ,  -9.175232    ,  -12.46686    ,   8.141049    ,  -7.094421    ,   0.000000    ,  -6.044373    ,  -5.167236    ,  0.1556091    ,  0.1956698E-02,   4.208560    ,   77356.52    ,
           1980,            348,   44.30571    ,   23.50065    ,  0.4568228    ,   196.7212    ,   222.0740    ,  -23.13913    , -0.4930389    ,   2.467578    ,  -5.140264    ,  -11.02118    ,  -20.28252    ,   8.168000    ,  -7.747131    ,   0.000000    ,  -6.125305    ,  -4.892456    ,  0.1485291    ,  0.1628565E-02,   1.231739    ,   77445.53    ,
           1980,            349,   32.53935    ,   16.89016    ,  0.4640923    ,   241.2425    ,   257.6052    ,  -13.67935    ,  -2.186454    ,   1.247792    ,  -4.515464    ,  -8.000000    ,  -12.12857    ,   8.129774    ,  -7.383148    ,   0.000000    ,  -5.991669    ,  -4.850952    ,  0.1417542    ,  0.2428619E-02,   2.259076    ,   77478.39    ,
           1980,            350,   46.60569    ,   24.22965    ,  0.4627807    ,   232.0500    ,   274.7465    ,  -9.334290    ,  -21.29110    , -0.2325868    ,  -2.893349    ,  0.2848511    ,  -4.365509    ,   8.034198    ,  -6.416321    ,   0.000000    ,  -5.527435    ,  -4.698730    ,  0.1351318    ,  0.4318615E-02,   5.054178    ,   77680.33    ,
           1980,            351,   47.56846    ,   25.88220    ,  0.4431636    ,   228.2296    ,   281.0140    ,  -7.832458    ,  -54.17099    ,   28.29103    ,  -2.363123    ,  0.5361328    ,  -2.619934    ,   8.018559    ,  -5.771240    ,   0.000000    ,  -5.057281    ,  -4.377197    ,  0.1286621    ,  0.3919065E-02,   6.533585    ,   77287.77    ,
           1980,            352,   49.36153    ,   26.88497    ,  0.4400369    ,   185.7011    ,   236.1381    ,  -19.62753    ,  -15.36378    ,   4.513041    ,  -3.923482    ,  -8.278473    ,  -13.54782    ,   8.116142    ,  -6.125916    ,   0.000000    ,  -4.947876    ,  -4.062683    ,  0.1224365    ,  0.1896466E-02,   4.201088    ,   76882.33    ,
           1980,            353,   50.47020    ,   27.91683    ,  0.4337786    ,   139.3059    ,   176.2447    ,  -37.21512    ,   5.237476    , -0.4378069    ,  -8.031945    ,  -22.15004    ,  -33.79878    ,   8.321852    ,  -7.970520    ,   0.000000    ,  -5.661865    ,  -4.080261    ,  0.1163940    ,  0.6020686E-03,   1.564331    ,   77349.23    ,
           1980,            354,   32.51944    ,   17.47606    ,  0.4483628    ,   206.0632    ,   218.4429    ,  -24.43803    ,   6.470477    ,  0.6385899    ,  -7.991652    ,  -19.95775    ,  -24.04880    ,   8.284556    ,  -8.452271    ,   0.000000    ,  -6.210663    ,  -4.547852    ,  0.1103516    ,  0.6552720E-03,   1.019486    ,   77253.02    ,
           1980,            355,   28.98518    ,   15.29883    ,  0.4618072    ,   255.2409    ,   259.5464    ,  -13.05524    ,   8.463588    ,   3.394918    ,  -5.156951    ,  -13.91321    ,  -13.02454    ,   8.187782    ,  -7.569641    ,   0.000000    ,  -6.056335    ,  -4.829132    ,  0.1041565    ,  0.1439944E-02,  0.7266226    ,   77039.33    ,
